Gene	RNA.Macrophages	RNA.DC1	RNA.DC2	RNA.Inflammatory.Monocytes	RNA.CD69..Mast	RNA.CD69..Mast.1	RNA.Cycling.Monocytes	RNA.NKs	RNA.ILCs	RNA.CD4..Activated.Fos.hi	RNA.CD4..Activated.Fos.lo	RNA.CD4..Memory	RNA.Tregs	RNA.CD4..PD1.	RNA.CD8..IELs	RNA.CD8..LP	RNA.CD8..IL17.	RNA.MT.hi	RNA.Cycling.T	RNA.Plasma	RNA.Follicular	RNA.GC	RNA.Cycling.B
ABCF2	0.429508412	0.163119308	0.454303453	0.386730584	0.603933405	0.733772823	0.283808663	0.338823786	0.988123653	0.548966743	0.659431985	0.633317174	0.694195312	0.998205948	0.59341674	0.667670329	0.617141228	0.47511949	0.462927529	0.082164933	0.449904856	0.570276915	0.39618428
ABCF3	0.441836322	0.263029875	0.155781469	0.131080656	0.749022746	0.640497493	0.112785775	0.900612192	0.860442984	0.382594831	0.370918152	0.422511095	0.797924594	0.664417171	0.469784042	0.490565299	0.307955274	0.688402984	0.509421413	0.110923601	0.447397375	0.329381512	0.187439541
ABCG1	0.497501787	0.058505253	0.312268554	0.131648171	0.166480772	0.501532617	0.536459409	0.573053148	0.137313195	0.518935837	0.472213487	0.389708897	0.885769937	0.670623889	0.694038226	0.835511437	0.819621121	1.130682291	0.641771159	0.032770895	0.479246347	0.279426742	0.056310713
ABCG2	0.325806567	0	0.035414448	0.044030657	0.022691029	0	0.465109897	0	0	0	0.006376617	0.005638907	0.00896066	0	0.045182363	0	0	0	0.012291097	0.026373163	0.002180669	0.009233101	0.003717927
ABHD1	0	0	0	0	0.025671159	0	0	0	0	0.005413823	0.022778103	0	0.010716066	0	0.011788563	0.004007856	0	0	0	0.000688714	0.000853605	0	0
ABHD10	0.082543653	0.223112003	0.187884706	0.015032129	0.283281206	0.336117253	0.197382743	0.164812121	0.039671726	0.241331021	0.308713966	0.422906755	0.274790729	0.245717055	0.291266615	0.286476013	0.277242789	0	0.264168388	0.088353819	0.330158467	0.086504735	0.1947877
ABHD11	0.437649197	0.083517545	0.360046066	0.313168379	0.308628538	0.408500948	0.371797686	0.323043922	0.239042575	0.09560962	0.105476445	0.156499919	0.210998981	0.183815685	0.55695406	0.249084653	0.367292584	0.226867902	0.440334585	0.150256668	0.200280515	0.236981943	0.212642806
ABHD12	3.443065976	0.140026968	1.264922636	1.539250715	0.773112227	0.570646708	2.10256455	0.568897868	0.353750268	0.421143291	0.421824	0.596223326	0.839820773	0.609976775	0.344284908	0.580237998	0.575259541	0.594061502	0.511504426	0.232854146	0.310138304	0.12468975	0.308600793
ABHD12B	0.00834192	0	0.014695623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00059853	0.002870451	0	0
ABHD13	0.345549906	0.190995486	0.324171373	0.558089134	0.789623162	0.703483371	0.155944139	0.908871141	1.120185338	1.422196741	1.433872702	0.84380868	1.498061392	0.81267679	0.897102423	1.176909011	1.309095403	1.100258144	0.436993239	0.119764879	0.832125804	0.345286833	0.170734871
ABHD14A	0.465761495	0.205166536	0.370402469	0.19614558	2.36243191	1.442054152	0.320293377	1.570166243	2.666974554	1.933745446	1.910230904	3.14486842	2.268567145	2.476963739	1.805755034	2.497258996	1.470334041	1.791079971	1.402401003	0.89289228	0.833565994	0.387769862	0.510179751
ABHD14B	0.691859278	0.865059584	0.695440795	0.122318844	1.125189604	1.681612573	0.46836605	1.319726115	1.960149867	2.092682337	2.250148865	2.901714837	3.48965802	2.462637978	2.626657179	2.048475343	2.558488269	1.480919816	1.159884453	0.401990482	1.830723763	1.374317396	1.114361179
ABHD15	0.323618757	0.025357685	0.151191863	0.071149628	0.034015833	0.175759394	0.09212279	0.955990478	0.721093043	0.165413153	0.444021872	0.188066944	0.059449563	0.064019727	0.851651823	0.402104027	0.213388201	0.475686835	0.168733464	0.037137647	0.37916945	0.092826745	0.026408073
ABHD16A	0.075952003	0.018040657	0.103987164	0.039760261	0.098178561	0.477966438	0.058305111	0.304328596	0.236017121	0.041171185	0.043371023	0.054202271	0.046375128	0	0.121873113	0.083895904	0.085569491	0.11929398	0.004711241	0.016617552	0.030808458	0.023166365	0.125568976
ABHD17A	0.381301972	0.341708491	0.277954961	0.270663888	0.156152851	0	0.421732998	3.197212638	0.425062715	0.895276457	0.845189534	0.923887729	0.953904602	1.146678225	2.595452861	1.705822783	1.921533268	2.591028633	1.102673963	0.103807781	0.440053862	0.217218245	0.313557436
ABHD17B	0.188151652	0.0743457	0.168268918	0.217805023	0.610413583	0.664671963	0.061999876	0.67952016	0.436694142	0.225225936	0.223029382	0.214940531	0.307920577	0.168717362	0.371778317	0.445965152	0.252780187	0.455501862	0.443848568	0.053770067	0.414500682	0.762432797	0.26705315
ABHD17C	0.004575403	0	0	0.027791167	0	0	0.00707806	0.065933141	0	0.005529126	0.002396404	0.02272769	0.003696102	0.056847422	0	0.007326064	0	0.170725746	0	0.005460432	0.021161236	0	0
ABHD2	0.570206252	0.418176131	0.419313222	0.775734095	1.493891836	1.294897466	0.504086486	0.384632124	0.276784818	0.182762748	0.253647287	0.274198385	0.229484777	0.153385112	0.511110033	0.276102435	0.263920887	0.519947676	0.148747802	0.061529964	0.127110773	0.297168896	0.230808479
ABHD3	0.582389779	0.89683363	0.459841046	0.692404677	0.940430483	0.87885503	0.582283734	1.655719435	0.576798366	1.272640579	1.173928138	1.658434092	1.772375821	1.067293639	1.050008905	1.866283719	1.197573052	1.425187991	1.911327167	0.630994405	1.018805727	0.984558545	1.299359285
ABHD4	0.030524146	0.023762334	0.023896825	0.081779183	0.155620343	0.093081336	0.003020172	0.046116878	0	0.103992289	0.091261419	0.042313041	0.089804625	0.04305031	0.16483651	0.058310567	0.049471715	0	0.004238674	0.049509141	0.065865042	0.148606278	0.073631659
ABHD5	0.527842953	0.096968932	0.621741477	1.077302689	0.44949106	0.147331705	0.257071614	0.463790353	1.216883307	0.592148757	0.330539695	0.2323041	0.469453977	0.241968441	0.134421453	0.561313887	0.335660261	0.974274359	0.288005533	0.187729754	0.137475688	0.313748808	0.18619699
ABHD6	0.207575855	0.11348575	0.286602567	0.162101806	0.35953213	0.611294934	0.531116417	0.116953931	0.056122707	0.112824847	0.109937921	0.111457924	0.067646762	0.298767123	0.118322421	0.142105119	0.15437095	0.12981932	0.219465528	0.013249976	0.266098493	0.14683158	0.023479697
ABHD8	0.444985997	0.127472134	0.254996532	0.184566777	0.284276218	0.185833195	0.383773843	0.314079076	0.499599235	0.193379229	0.223365093	0.217818336	0.278059876	0.136836207	0.113260503	0.198277068	0.199389094	0.550398424	0.166446632	0.114560837	0.171027263	0.387476597	0.14237362
ABI1	0.865631958	1.018245739	0.930961987	0.813414432	0.924373297	1.919317511	0.470356581	2.249077484	1.42444048	1.840334323	1.663804658	1.887737406	2.852131801	2.72370157	1.261836553	2.029472726	2.466097467	1.158532839	1.409498264	0.376511589	1.662179353	3.508041132	1.424667299
ABI2	0.279541168	0.36614423	0.176008532	0.195080918	0.458047269	0.527293589	0.23586101	0.145630048	0.587228096	0.33969411	0.351164466	0.478443926	0.695668804	0.478694679	0.482380933	0.510738265	0.580692957	0.850129229	0.39778581	0.088078072	0.259665217	0.077392456	0.138649608
ABI3	6.648983298	2.079470486	4.985864181	5.272137666	0.110401892	0.214570717	6.285791569	7.367345813	0.936071697	3.890917143	3.246026329	2.438227832	5.218920902	1.185309754	14.49851093	6.802199085	12.64499894	5.557484997	7.259275833	0.1221565	2.748720396	3.860564164	1.449500284
ABI3BP	0.00853578	0.009652974	0.022001773	0	0.016758643	0	0	0	0	0.020188141	0.001758849	0.030547634	0.012297224	0	0	0.00976685	0	0	0	0.009670818	0.000613409	0	0.007040726
ABL1	0.257054325	0.09048531	0.073514598	0.140998707	0.034137399	0	0.210922012	0.105302898	0	0.046840338	0.079790099	0.151174507	0.028481915	0.016625282	0.095964624	0.108061844	0.040097045	0.289492765	0.02774801	0.011860166	0.082870888	0.045178476	0.065385088
ABL2	1.280320721	0.065831401	0.501179255	0.970277735	0.16011055	0.368801531	0.467418603	0.037205028	0.253164156	0.098672113	0.123820445	0.289424369	0.187629647	0.090150007	0.11437657	0.188329314	0.016095015	0.596413796	0.237948045	0.058164351	0.179588891	0.188900927	0.039138479
ABLIM1	0.006149533	0	0.002971476	0.005553903	0.041170928	0.279021156	0.109350492	0.541946224	0.552379461	0.462160568	0.536270379	0.69993	0.417246829	0.64317729	0.655751152	0.46340868	0.472159404	1.116655652	0.40336937	0.018185975	0.399269308	0.401723611	0.078257132
ABLIM2	0.001856731	0	0.004159437	0	0	0	0	0	0	0.032535975	0.013872107	0.022195078	0.019580151	0	0.028410963	0.036271715	0	0	0.057691774	0.001134419	0	0	0
ABLIM3	0.083570615	0	0.005932954	0	0	0	0	0	0	0	0.005297479	0.004929242	0	0	0	0.01639133	0	0	0	0.002912685	0	0	0
ABR	0.706473634	0.111491251	0.35607072	0.588013682	0.102147121	0	0.252249708	0.588968621	0.219715453	0.183373468	0.266323893	0.265940446	0.156489802	0.183486261	0.452562284	0.31660375	0.463299399	0.983293267	0.280164117	0.026812947	0.112259757	0.245340075	0.101504443
ABRACL	4.753150735	4.759775059	2.888863725	5.301115809	7.512877923	8.582342677	6.135915563	6.113157235	11.0964001	11.09097407	11.77864315	8.241320225	7.845849744	7.533835538	8.752900383	8.501336425	16.40411162	8.737213134	8.385709937	0.794093456	3.424610998	6.481995952	4.358442677
ABT1	0.526261717	0.500067614	0.616460659	1.157910654	1.760500687	3.079462789	1.029305935	3.437061346	3.126546346	2.223529201	2.802358463	3.396507917	3.106930759	3.219347959	2.803057409	3.134300985	2.780565805	2.958316126	2.506578883	0.438577352	2.338056575	1.708420897	1.584221836
ABTB1	0.682364982	0.24675426	0.568986233	0.940335978	0.513207781	0.593905786	0.457218902	0.918709258	1.332587708	0.888630295	0.859782566	1.268911864	1.53662469	1.166564147	1.182203458	1.179663398	1.00493985	1.434230519	1.013183526	0.195886937	0.649934418	0.882478516	0.134329149
ABTB2	0.005448632	0	0	0	0	0	0	0.111760743	0.044258476	0	0.022448805	0	0.055348116	0.032362535	0.052603928	0.008947341	0.070524428	0	0	0.007066073	0	0.017557464	0.014345198
AC000003.2	0.014321524	0.141766167	0.10724659	0.032213645	0.084150042	0	0.025656579	0.047781717	0.02485477	0	0.001697305	0.001306099	0	0	0.005167081	0.003314083	0	0	0	0.004275982	0.047843752	0.012760517	0.002625774
AC000068.5	0.000482271	0	0	0	0	0	0	0	0	0	0.005325335	0.008187538	0.006097622	0	0	0.021932195	0	0.062338355	0	0.01728252	0.01250543	0.021934283	0.002418581
AC002116.7	0.001202469	0	0.00764705	0	0.015227477	0	0.032797483	0.162020469	0.383725005	0.089194619	0.020432164	0.026400144	0.017862639	0.018634042	0.015889365	0.041075773	0	0	0.033294433	0.004840101	0.016583657	0.019261685	0.011772001
AC002117.1	0.016934834	0	0.0314488	0.020039412	0.040969465	0.046357515	0	0.098957882	0	0.063314907	0.08543805	0.118587475	0.145646577	0.059925393	0.121402525	0.044047839	0.035369279	0.26839858	0	0.034933699	0.1170975	0.088614839	0.02214099
AC002306.1	0	0	0	0	0	0	0	0	0	0.005340136	0.005630199	0	0.020204653	0	0	0.021978621	0	0	0	2.88E-05	0	0	0
AC002310.12	0.053826576	0.010792209	0.11245449	0	0.178542254	0.121019274	0.058377564	0.07059863	0.089368564	0.132991973	0.172192355	0.170207567	0.07119321	0.290395265	0.157868433	0.093388429	0.220172057	0.24900933	0.144318	0.02532057	0.187934393	0.156495562	0.190014168
AC002331.1	0	0	0	0	0	0	0	0	0	0.003905879	0.04546525	0.040401784	0.47158988	0.24469026	0.318331532	0.084343083	0.194060711	0	0.120384508	0.000153751	0	0	0
AC002451.3	0.007809149	0	0	0	0	0	0.002717985	0.059308948	0	0	0	0	0	0	0	0	0	0	0	0.003843115	0	0	0
AC002467.7	0.088240279	0.061170201	0.085891833	0.017342953	0.048144631	0.306214919	0.170679216	0.373417057	0	0.073652774	0.075302538	0.069535139	0.085644649	0	0.111828218	0.070670074	0.035022367	0.130997066	0.108011119	0.02046982	0.039216869	0.062768522	0.060536832
AC002472.13	0.002751951	0	0.004397902	0	0	0	0.005405954	0	0	0.002169865	0.001641946	0.015124336	0	0	0	0	0	0	0.017704059	0.001735577	0	0	0
AC002480.5	0.001936149	0	0	0	0	0	0	0	0	0.001067908	0	0	0	0	0	0	0	0	0	0.001172676	0.153679666	0	0
AC003051.1	0	0	0.004148843	0	0	0	0.013340649	0	0	0.015109038	0.007639806	0.009196775	0.01047076	0	0	0.00609156	0.078208164	0	0	0.000663747	0	0.072066343	0.009380292
AC003075.4	0.317829412	0.110424661	0.109396104	0.134333108	0.204658998	0.381959439	0.045612991	0.550320656	0.267488298	0.35221439	0.526384276	0.372827995	0.480561167	0.231396028	0.526261804	0.311357708	0.18145778	0.410489438	0.060286728	0.011672916	0.078962913	0.05035253	0.014081361
AC003090.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000212161	0.024122285	0	0
AC003102.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043482731	0	0	0	0	0.001146516	0	0.043338608	0
AC003665.1	0.011001348	0	0.041167173	0.050252598	0.012652509	0.020600944	0.060063016	0	0	0.00638381	0.008445799	0.013706352	0.005932212	0	0.003051792	0.021267891	0	0.091032828	0	0.006174677	0.052589428	0	0.028959036
